file_name,start_time,timestamp,sport,sub_sport,distance_km,duration_min,pace_min_km,total_ascent,total_descent,avg_heart_rate,max_heart_rate,min_heart_rate,avg_running_cadence,max_running_cadence,enhanced_avg_speed,enhanced_max_speed,avg_temperature,total_calories,total_strides
462668662348742660.fit,2024-08-13 17:57:31,2024-08-13 18:46:11,running,nan,6.61095,48.6665,7.361498725599195,16.0,34.0,133.0,153,86.0,77.0,85.0,2.264,2.857,30.0,535,3815.0
462691003694874629.fit,2024-08-14 16:57:36,2024-08-14 17:57:56,running,nan,11.50234,60.33383333333334,5.245352974554163,53.0,44.0,168.0,195,89.0,80.0,84.0,3.177,3.717,30.0,971,4886.0
462830559528255490.fit,2024-08-20 17:30:25,2024-08-20 18:18:57,running,nan,8.29484,48.542,5.852071890476489,19.0,24.0,152.0,164,90.0,79.0,82.0,2.848,3.205,29.0,665,3847.0
462853318025183237.fit,2024-08-21 17:09:52,2024-08-21 17:55:39,running,nan,8.00615,45.77283333333333,5.7172090622001,24.0,25.0,158.0,177,92.0,80.0,83.0,2.915,3.534,27.0,666,3690.0
462900502533799943.fit,2024-08-23 17:54:59,2024-08-23 18:45:12,running,nan,8.4995,50.21133333333333,5.907563189991568,18.0,24.0,155.0,175,95.0,79.0,84.0,2.821,3.226,29.0,716,4008.0
462945384942043137.fit,2024-08-25 15:51:21,2024-08-25 17:11:30,running,nan,14.3764,79.405,5.523288166717676,42.0,40.0,158.0,171,89.0,81.0,84.0,3.018,3.436,26.0,1191,6500.0
462992600861802498.fit,2024-08-27 17:16:05,2024-08-27 18:03:40,running,nan,7.75213,47.59016666666666,6.138979437479333,93.0,96.0,152.0,173,90.0,78.0,94.0,2.715,3.597,29.0,659,3730.0
463131889872437255.fit,2024-09-02 17:26:24,2024-09-02 18:11:47,running,nan,7.60393,45.394666666666666,5.969895391812742,18.0,19.0,152.0,166,96.0,78.0,82.0,2.792,3.205,29.0,625,3575.0
463154765136691209.fit,2024-09-03 17:13:05,2024-09-03 17:47:39,running,nan,5.06863,34.57833333333333,6.822027516968753,13.0,28.0,145.0,165,96.0,78.0,83.0,2.443,3.425,23.0,423,2686.0
463201682015158277.fit,2024-09-05 17:22:29,2024-09-05 18:25:02,running,nan,11.603399999999999,62.53933333333334,5.3897420870894175,34.0,43.0,162.0,195,94.0,79.0,85.0,3.092,4.167,24.0,959,4991.0
463293751886905347.fit,2024-09-09 16:16:05,2024-09-09 17:41:11,running,nan,15.02935,84.76916666666666,5.64024170484197,35.0,37.0,167.0,194,90.0,79.0,85.0,2.955,3.534,23.0,1362,6707.0
463357596575760385.fit,2024-09-12 10:21:36,2024-09-12 11:44:45,running,nan,15.34983,83.159,5.41758442927381,14.0,17.0,164.0,185,81.0,79.0,83.0,3.076,3.759,18.0,1296,6622.0
463449012270301187.fit,2024-09-16 09:18:37,2024-09-16 10:20:43,running,nan,10.00851,62.09666666666667,6.204386733556411,34.0,32.0,155.0,168,90.0,80.0,85.0,2.686,2.941,26.0,876,5027.0
463472249924517892.fit,2024-09-17 08:57:14,2024-09-17 10:20:46,running,nan,15.60107,83.54316666666666,5.354963900980296,44.0,43.0,176.0,198,111.0,81.0,97.0,3.112,4.739,24.0,1442,6796.0
