start_time,timestamp,sport,total_elapsed_time,total_timer_time,total_distance,total_ascent,total_descent,total_calories,total_strides,max_running_cadence,avg_running_cadence,avg_step_length,max_heart_rate,min_heart_rate,avg_heart_rate,enhanced_max_speed,max_speed,enhanced_avg_speed,avg_speed,avg_power,avg_stance_time,avg_stance_time_balance,avg_vertical_oscillation,avg_vertical_ratio,Effort Pace,file_name,max_cadence,avg_cadence,max_power,total_work,normalized_power,sub_sport,avg_temperature
2024-08-21 17:09:52,2024-08-21 17:55:39,running,2746.38,2746.37,8006.15,24.0,25.0,666,3690.0,83.0,80.0,1080.0,177,92.0,158.0,3.534,3.534,2.915,2.915,229.0,0.0,0.0,0.0,0.0,2.940999984741211,462853318025183237.fit,,,,,,,27.0
2024-08-23 17:54:59,2024-08-23 18:45:12,running,3012.68,3012.68,8499.5,18.0,24.0,716,4008.0,84.0,79.0,1060.0,175,95.0,155.0,3.226,3.226,2.821,2.821,221.0,0.0,0.0,0.0,0.0,2.8320000171661377,462900502533799943.fit,,,,,,,29.0
2024-08-27 17:16:05,2024-08-27 18:03:40,running,2855.41,2855.41,7752.13,93.0,96.0,659,3730.0,94.0,78.0,1030.0,173,90.0,152.0,3.597,3.597,2.715,2.715,217.0,0.0,0.0,0.0,0.0,2.815999984741211,462992600861802498.fit,,,,,,,29.0
2024-09-02 17:26:24,2024-09-02 18:11:47,running,2723.73,2723.68,7603.93,18.0,19.0,625,3575.0,82.0,78.0,1060.0,166,96.0,152.0,3.205,3.205,2.792,2.792,219.0,0.0,0.0,0.0,0.0,2.8010001182556152,463131889872437255.fit,,,,,,,29.0
2024-09-03 17:13:05,2024-09-03 17:47:39,running,2074.7,2074.7,5068.63,13.0,28.0,423,2686.0,83.0,78.0,930.0,165,96.0,145.0,3.425,3.425,2.443,2.443,190.0,0.0,0.0,0.0,0.0,2.450000047683716,463154765136691209.fit,,,,,,,23.0
2024-09-05 17:22:29,2024-09-05 18:25:02,running,3752.36,3752.36,11603.4,34.0,43.0,959,4991.0,85.0,79.0,1160.0,195,94.0,162.0,4.167,4.167,3.092,3.092,242.0,0.0,0.0,0.0,0.0,3.115000009536743,463201682015158277.fit,,,,,,,24.0
2024-09-12 10:21:36,2024-09-12 11:44:45,running,4989.55,4989.54,15349.83,14.0,17.0,1296,6622.0,83.0,79.0,1160.0,185,81.0,164.0,3.759,3.759,3.076,3.076,241.0,0.0,0.0,0.0,0.0,3.0859999656677246,463357596575760385.fit,,,,,,,18.0
2024-09-16 09:18:37,2024-09-16 10:20:43,running,3725.8,3725.8,10008.51,34.0,32.0,876,5027.0,85.0,80.0,1000.0,168,90.0,155.0,2.941,2.941,2.686,2.686,211.0,0.0,0.0,0.0,0.0,2.7100000381469727,463449012270301187.fit,,,,,,,26.0
2024-09-17 08:57:14,2024-09-17 10:20:46,running,5012.59,5012.59,15601.07,44.0,43.0,1442,6796.0,97.0,81.0,1150.0,198,111.0,176.0,4.739,4.739,3.112,3.112,248.0,0.0,0.0,0.0,0.0,3.134000062942505,463472249924517892.fit,,,,,,,24.0
2024-09-18 13:31:27,2024-09-18 14:12:29,cycling,2462.04,2462.04,9808.07,42.0,41.0,369,,,,,166,64.0,135.0,6.758,6.758,3.983,3.983,0.0,,,,,,463499158966272001.fit,0.0,0.0,0.0,0.0,0.0,road,27.0
2024-09-20 08:50:20,2024-09-20 09:37:35,running,2834.34,2834.33,7984.5,21.0,19.0,697,3915.0,85.0,82.0,1020.0,176,94.0,159.0,3.165,3.165,2.817,2.817,221.0,0.0,0.0,0.0,0.0,2.8320000171661377,463541086168580100.fit,,,,,,,26.0
2024-09-23 08:46:48,2024-09-23 09:26:53,running,2405.44,2405.43,6700.97,15.0,16.0,607,3351.0,86.0,83.0,1000.0,180,92.0,163.0,3.145,3.145,2.786,2.786,218.0,0.0,0.0,0.0,0.0,2.8010001182556152,463610484250148864.fit,,,,,,,24.0
2024-09-24 09:11:24,2024-09-24 10:47:22,running,5757.76,5757.75,17514.02,47.0,47.0,1612,7971.0,106.0,82.0,1100.0,189,103.0,173.0,4.032,4.032,3.042,3.042,239.0,0.0,0.0,0.0,0.0,3.058000087738037,463635039651921920.fit,,,,,,,26.0
2024-10-01 15:38:56,2024-10-01 16:16:50,running,2273.86,2273.85,6653.68,24.0,24.0,576,3203.0,87.0,84.0,1040.0,185,97.0,161.0,3.546,3.546,2.926,2.926,229.0,0.0,0.0,0.0,0.0,2.9489998817443848,463802627935731726.fit,,,,,,,24.0
2024-10-03 10:40:12,2024-10-03 11:10:19,running,1806.87,1806.87,5303.22,4.0,8.0,496,2519.0,88.0,84.0,1040.0,193,91.0,170.0,3.717,3.717,2.935,2.935,228.0,0.0,0.0,0.0,0.0,2.9489998817443848,463844077320830977.fit,,,,,,,26.0
2024-10-10 13:49:20,2024-10-10 14:33:04,running,2623.93,2623.92,7152.6,19.0,30.0,591,3649.0,87.0,83.0,980.0,161,115.0,150.0,3.021,3.021,2.726,2.726,212.0,0.0,0.0,0.0,0.0,2.7320001125335693,464009766423789571.fit,,,,,,,25.0
2024-10-12 11:01:00,2024-10-12 11:35:03,training,2042.08,2042.08,0.0,,,293,,,,,145,78.0,115.0,,,,,,,,,,,464055263010258947.fit,,,,,,strength_training,27.0
2024-10-13 09:51:22,2024-10-13 10:48:38,running,3436.4,3436.4,9808.37,22.0,22.0,870,4795.0,88.0,83.0,1030.0,175,83.0,163.0,3.155,3.155,2.854,2.854,223.0,0.0,0.0,0.0,0.0,2.865000009536743,464075745440858114.fit,,,,,,,27.0
2024-10-18 08:43:28,2024-10-18 09:19:18,running,2150.18,2150.17,6707.93,5.0,7.0,609,3082.0,91.0,85.0,1100.0,199,82.0,176.0,4.202,4.202,3.12,3.12,244.0,0.0,0.0,0.0,0.0,3.125,464190181891670019.fit,,,,,,,23.0
2024-10-19 09:15:36,2024-10-19 10:35:55,cycling,4819.03,4819.03,26436.91,361.0,369.0,772,,,,,187,57.0,141.0,14.744,14.744,5.486,5.486,0.0,,,,,,464214617034358785.fit,0.0,0.0,0.0,0.0,0.0,road,22.0
2024-10-20 09:40:23,2024-10-20 10:43:45,running,3801.73,3801.73,10703.59,39.0,42.0,954,5386.0,91.0,84.0,1000.0,183,93.0,163.0,3.155,3.155,2.815,2.815,224.0,0.0,0.0,0.0,0.0,2.8399999141693115,464237926897713158.fit,,,,,,,25.0
2024-10-22 12:21:30,2024-10-22 12:57:58,running,2188.29,2188.29,6458.17,8.0,7.0,491,3064.0,87.0,83.0,1060.0,167,84.0,152.0,3.226,3.226,2.951,2.951,233.0,0.0,0.0,0.0,0.0,2.9670000076293945,464286475595317250.fit,,,,,,,25.0
2024-10-23 08:12:29,2024-10-23 08:56:49,running,2659.7,2659.6,7829.99,9.0,9.0,660,3786.0,92.0,85.0,1030.0,193,90.0,162.0,4.274,4.274,2.944,2.944,230.0,0.0,0.0,0.0,0.0,2.9489998817443848,464305783891329026.fit,,,,,,,22.0
2024-11-03 10:03:06,2024-11-03 10:41:51,running,2325.46,2325.46,7004.73,8.0,6.0,623,3234.0,86.0,82.0,1090.0,179,101.0,167.0,3.226,3.226,3.012,3.012,238.0,0.0,0.0,0.0,0.0,3.0209999084472656,464562597969035271.fit,,,,,,,22.0
2024-11-04 13:03:06,2024-11-04 13:45:44,running,2557.11,2557.1,8007.37,9.0,7.0,687,3514.0,85.0,82.0,1140.0,184,98.0,167.0,3.472,3.472,3.131,3.131,246.0,0.0,0.0,0.0,0.0,3.1440000534057617,464589301122891780.fit,,,,,,,24.0
2024-11-06 09:35:20,2024-11-06 10:15:08,running,2387.86,2387.86,7547.32,4.0,7.0,665,3291.0,85.0,81.0,1160.0,195,92.0,170.0,3.968,3.968,3.161,3.161,250.0,0.0,0.0,0.0,0.0,3.1640000343322754,464631804924559363.fit,,,,,,,21.0
2024-11-12 09:40:45,2024-11-12 10:15:13,running,2068.25,2068.25,6261.85,6.0,6.0,592,2880.0,86.0,82.0,1100.0,183,95.0,173.0,3.226,3.226,3.028,3.028,238.0,0.0,0.0,0.0,0.0,3.0390000343322754,464770902274375687.fit,,,,,,,18.0
2024-11-20 12:29:04,2024-11-20 13:03:12,running,2047.95,2047.95,6180.21,7.0,9.0,520,2861.0,87.0,82.0,1090.0,172,104.0,159.0,3.484,3.484,3.018,3.018,238.0,0.0,0.0,0.0,0.0,3.0299999713897705,464959152031039492.fit,,,,,,,20.0
2024-11-23 10:22:11,2024-11-23 11:30:28,cycling,4096.34,4096.33,20907.61,314.0,316.0,722,,,,,186,92.0,150.0,12.142,12.142,5.103,5.103,0.0,,,,,,465027248200646662.fit,0.0,0.0,0.0,0.0,0.0,road,19.0
2024-11-24 10:38:54,2024-11-24 11:23:28,running,2673.72,2673.71,6719.84,206.0,205.0,567,3486.0,101.0,78.0,960.0,197,115.0,170.0,3.584,3.584,2.513,2.513,218.0,0.0,0.0,0.0,0.0,2.872999906539917,465050314859380748.fit,,,,,,trail,24.0
2024-11-26 09:36:59,2024-11-26 10:37:01,running,3601.67,3601.67,10679.36,7.0,7.0,979,4929.0,86.0,81.0,1090.0,181,103.0,167.0,3.413,3.413,2.965,2.965,233.0,0.0,0.0,0.0,0.0,2.9670000076293945,465095952913432579.fit,,,,,,,20.0
2024-11-27 14:06:40,2024-11-27 14:45:20,running,2319.89,2319.88,7246.05,18.0,30.0,609,3249.0,86.0,82.0,1130.0,181,106.0,163.0,3.571,3.571,3.123,3.123,245.0,0.0,0.0,0.0,0.0,3.125,465123143546077188.fit,,,,,,,22.0
2024-12-05 13:14:13,2024-12-05 13:39:44,cycling,1531.58,1531.58,0.0,0.0,0.0,162,,,,,135,82.0,111.0,0.0,0.0,0.0,0.0,0.0,,,,,,465307629315457031.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,28.0
2024-12-14 10:57:50,2024-12-14 11:47:59,cycling,3008.85,3008.84,0.0,0.0,0.0,445,,,,,171,94.0,135.0,0.0,0.0,0.0,0.0,0.0,,,,,,465514564866310146.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,29.0
2025-01-06 09:32:41,2025-01-06 10:07:43,running,2102.36,2102.35,5407.39,42.0,44.0,539,2773.0,81.0,78.0,980.0,183,94.0,161.0,2.985,2.985,2.572,2.572,206.0,0.0,0.0,0.0,0.0,2.63100004196167,466046385165205510.fit,,,,,,,24.0
2025-01-07 13:12:21,2025-01-07 13:43:04,cycling,1842.87,1842.87,0.0,0.0,0.0,236,,,,,163,66.0,124.0,0.0,0.0,0.0,0.0,0.0,,,,,,466073045906259979.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,31.0
2025-01-07 13:45:09,2025-01-07 13:50:39,training,330.33,330.32,0.0,,,34,,,,,122,86.0,105.0,,,,,,,,,,,466073167505424388.fit,,,,,,strength_training,31.0
2025-01-11 10:25:03,2025-01-11 11:15:09,cycling,3005.98,3005.98,0.0,0.0,0.0,370,,,,,167,78.0,121.0,0.0,0.0,0.0,0.0,0.0,,,,,,466163778698903559.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,30.0
2025-01-12 11:15:40,2025-01-12 11:51:42,running,2161.76,2161.75,6126.74,32.0,24.0,636,2896.0,124.0,80.0,1060.0,191,93.0,176.0,3.175,3.175,2.834,2.834,227.0,0.0,0.0,0.0,0.0,2.88100004196167,466187216872308752.fit,,,,,,,18.0
2025-01-14 09:20:41,2025-01-14 09:55:21,running,2079.67,2079.66,5795.45,33.0,33.0,562,2782.0,83.0,80.0,1040.0,184,111.0,166.0,3.04,3.04,2.787,2.787,223.0,0.0,0.0,0.0,0.0,2.8320000171661377,466233759019073543.fit,,,,,,,17.0
2025-01-16 09:53:57,2025-01-16 10:27:05,running,1988.33,1988.33,5566.64,22.0,21.0,552,2635.0,82.0,79.0,1050.0,184,97.0,168.0,3.226,3.226,2.8,2.8,221.0,0.0,0.0,0.0,0.0,2.8320000171661377,466278706657132548.fit,,,,,,,17.0
2025-01-18 09:56:24,2025-01-18 10:58:17,cycling,3713.4,3713.4,0.0,0.0,0.0,356,,,,,123,67.0,106.0,0.0,0.0,0.0,0.0,0.0,,,,,,466325514016030729.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,30.0
2025-01-20 10:03:58,2025-01-20 11:04:18,cycling,3619.93,3619.92,0.0,0.0,0.0,365,,,,,146,66.0,108.0,0.0,0.0,0.0,0.0,0.0,,,,,,466372205679247365.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,30.0
2025-01-22 09:58:00,2025-01-22 10:30:36,running,1956.53,1956.52,5600.15,21.0,20.0,537,2707.0,84.0,80.0,1070.0,185,94.0,168.0,3.021,3.021,2.862,2.862,226.0,0.0,0.0,0.0,0.0,2.890000104904175,466418230546694151.fit,,,,,,,21.0
2025-01-23 10:14:52,2025-01-23 11:20:26,cycling,3934.53,3934.52,0.0,0.0,0.0,391,,,,,125,77.0,108.0,0.0,0.0,0.0,0.0,0.0,,,,,,466442394571669508.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,32.0
2025-01-25 10:28:02,2025-01-25 11:25:07,running,3424.22,3424.21,9352.13,14.0,9.0,932,4687.0,85.0,80.0,1020.0,178,90.0,167.0,2.924,2.924,2.731,2.731,216.0,0.0,0.0,0.0,0.0,2.746999979019165,466488297303080964.fit,,,,,,,24.0
2025-01-26 10:31:38,2025-01-26 11:12:07,running,2428.32,2428.31,7332.15,6.0,17.0,675,3327.0,84.0,81.0,1110.0,188,114.0,169.0,3.636,3.636,3.019,3.019,237.0,0.0,0.0,0.0,0.0,3.01200008392334,466511279670984707.fit,,,,,,,20.0
2025-01-27 10:14:18,2025-01-27 11:20:37,cycling,3978.72,3978.72,0.0,0.0,0.0,403,,,,,150,77.0,109.0,0.0,0.0,0.0,0.0,0.0,,,,,,466534663622524935.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,31.0
2025-01-28 09:37:34,2025-01-28 10:12:39,running,2104.3,2104.3,6164.81,27.0,19.0,590,2873.0,86.0,81.0,1080.0,182,96.0,164.0,3.3,3.3,2.93,2.93,232.0,0.0,0.0,0.0,0.0,2.9670000076293945,466556709421219853.fit,,,,,,,21.0
2025-01-29 09:31:13,2025-01-29 10:31:16,cycling,3602.84,3602.83,0.0,0.0,0.0,293,,,,,124,69.0,98.0,0.0,0.0,0.0,0.0,0.0,,,,,,466580686613020672.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,31.0
2025-02-01 10:28:43,2025-02-01 11:38:32,running,4188.53,4188.53,12085.93,149.0,160.0,1075,5656.0,83.0,80.0,1080.0,178,140.0,161.0,3.367,3.367,2.885,2.885,232.0,0.0,0.0,0.0,0.0,2.984999895095825,466650865036460039.fit,,,,,,,17.0
2025-02-02 10:37:07,2025-02-02 11:37:15,cycling,3608.04,3608.04,0.0,0.0,0.0,333,,,,,136,69.0,104.0,0.0,0.0,0.0,0.0,0.0,,,,,,466674079601033231.fit,0.0,0.0,0.0,0.0,0.0,indoor_cycling,30.0
2025-02-02 11:42:54,2025-02-02 11:49:35,training,401.06,401.05,0.0,,,37,,,,,93,69.0,81.0,,,,,,,,,,,466674231535501315.fit,,,,,,strength_training,31.0
2025-02-24 09:34:53,2025-02-24 10:07:04,running,1931.63,1931.63,5267.81,7.0,7.0,534,2556.0,82.0,79.0,1030.0,180,106.0,169.0,3.268,3.268,2.727,2.727,215.0,0.0,0.0,0.0,0.0,2.746999979019165,467182867066159111.fit,,,,,,,20.0
2025-02-28 10:11:52,2025-02-28 10:42:07,running,1814.9,1814.9,5144.19,5.0,5.0,473,2431.0,82.0,79.0,1070.0,169,101.0,162.0,3.3,3.3,2.834,2.834,224.0,0.0,0.0,0.0,0.0,2.8489999771118164,467276219522514945.fit,,,,,,,19.0
2025-04-20 09:43:37,2025-04-20 10:17:17,running,2020.18,2020.17,5386.83,26.0,25.0,529,2662.0,81.0,78.0,1020.0,177,104.0,163.0,2.941,2.941,2.667,2.667,212.0,0.0,0.0,0.0,0.0,2.7170000076293945,468458593685897220.fit,,,,,,,26.0
2025-04-26 16:25:43,2025-04-26 17:11:20,running,2736.82,2736.82,7456.05,13.0,10.0,660,3598.0,91.0,79.0,1030.0,170,87.0,156.0,4.587,4.587,2.724,2.724,213.0,0.0,0.0,0.0,0.0,2.739000082015991,468605327217033220.fit,,,,,,,24.0
2025-04-28 16:40:20,2025-04-28 16:55:24,cycling,903.9,903.9,4166.99,9.0,5.0,108,,,,,147,91.0,120.0,7.35,7.35,4.611,4.611,0.0,,,,,,468651982104592389.fit,0.0,0.0,0.0,0.0,0.0,road,27.0
2025-04-28 17:11:06,2025-04-28 17:38:56,running,1670.15,1670.15,4425.41,10.0,12.0,376,2125.0,83.0,78.0,1020.0,162,95.0,149.0,3.058,3.058,2.65,2.65,206.0,0.0,0.0,0.0,0.0,2.6589999198913574,468651982104592405.fit,,,,,,,28.0
