start_time,timestamp,sport,total_elapsed_time,total_timer_time,total_distance,total_ascent,total_descent,total_calories,total_strides,max_running_cadence,avg_running_cadence,avg_step_length,max_heart_rate,min_heart_rate,avg_heart_rate,enhanced_max_speed,max_speed,enhanced_avg_speed,avg_speed,avg_power,avg_stance_time,avg_stance_time_balance,avg_vertical_oscillation,avg_vertical_ratio,Effort Pace,file_name,sub_sport,max_cadence,avg_cadence,max_power,total_work,normalized_power,avg_temperature
2024-09-27 17:02:12+00:00,2024-09-27 18:14:46+00:00,running,4354.22,1630.81,4507.83,26.0,33.0,379,2200.0,102.0,81.0,1010.0,176,70,148.0,3.311,3.311,2.764,2.764,214.0,0.0,0.0,0.0,0.0,2.7929999828338623,463711797696823300.fit,,,,,,,20.0
2024-09-29 14:28:33+00:00,2024-09-29 15:15:56+00:00,running,2843.17,2814.97,7418.92,57.0,58.0,618,3923.0,89.0,83.0,950.0,192,80,147.0,4.065,4.065,2.636,2.636,209.0,0.0,0.0,0.0,0.0,2.680000066757202,463755317258256389.fit,,,,,,,21.0
2024-10-06 06:22:39+00:00,2024-10-06 06:30:56+00:00,running,496.26,464.88,1037.16,4.0,3.0,97,611.0,98.0,80.0,830.0,161,116,143.0,3.021,3.021,2.231,2.231,177.0,0.0,0.0,0.0,0.0,2.256999969482422,463909165134282753.fit,,,,,,,21.0
2024-10-06 06:59:43+00:00,2024-10-06 08:45:14+00:00,running,6331.15,6328.97,21300.46,71.0,76.0,1876,8750.0,89.0,82.0,1220.0,191,100,178.0,3.817,3.817,3.366,3.366,265.0,0.0,0.0,0.0,0.0,3.3889999389648438,463911325771268098.fit,,,,,,,19.0
2024-10-12 09:44:35+00:00,2024-10-12 10:49:16+00:00,cycling,3881.25,3860.39,20610.78,299.0,308.0,631,,,,,173,82,143.0,13.85,13.85,5.339,5.339,0.0,,,,,,464052492756353029.fit,road,0.0,0.0,0.0,0.0,0.0,21.0
2024-11-18 10:39:21+00:00,2024-11-18 11:57:29+00:00,running,4687.46,4683.09,13236.01,15.0,15.0,1200,6244.0,99.0,80.0,1050.0,173,83,160.0,3.378,3.378,2.826,2.826,223.0,0.0,0.0,0.0,0.0,2.8320000171661377,464911706603159554.fit,,,,,,,19.0
2025-01-11 11:17:38+00:00,2025-01-11 11:34:14+00:00,training,995.83,902.16,0.0,,,78,,,,,160,70,112.0,,,,,,,,,,,466163778698903560.fit,strength_training,,,,,,30.0
2025-01-15 17:12:39+00:00,2025-01-15 17:36:32+00:00,training,1433.25,1328.47,0.0,,,118,,,,,141,67,99.0,,,,,,,,,,,466262349003653120.fit,strength_training,,,,,,29.0
2025-01-18 11:05:45+00:00,2025-01-18 11:38:42+00:00,training,1976.72,1771.07,0.0,,,147,,,,,132,67,99.0,,,,,,,,,,,466326164166705159.fit,strength_training,,,,,,29.0
2025-01-19 10:48:17+00:00,2025-01-19 11:39:14+00:00,running,3057.4,2946.04,8443.77,38.0,48.0,819,3947.0,84.0,80.0,1060.0,182,115,167.0,3.509,3.509,2.866,2.866,227.0,0.0,0.0,0.0,0.0,2.890000104904175,466349366651682836.fit,,,,,,,15.0
